"id","label","marksize","visible","z","lat","lon"
"32.059_49.444","[[Cherkasy]]","20","TRUE",99,"49.444","32.059"
"31.995_49.416","[[Cherkasy International Airport]]","10","TRUE",99,"49.416","31.995"
"31.458_49.293","[[Horodyshche]]","10","TRUE",99,"49.293","31.458"
"32.100_49.033","[[Kamianka, Cherkasy ]]","10","TRUE",99,"49.033","32.100"
"31.467_49.750","[[Kaniv]]","12","TRUE",99,"49.750","31.467"
"29.967_48.800","[[Khrystynivka]]","10","TRUE",99,"48.800","29.967"
"31.283_49.483","[[Korsun-Shevchenkivskyi]]","10","TRUE",99,"49.483","31.283"
"31.392_49.000","[[Shpola]]","10","TRUE",99,"49.000","31.392"
"31.873_49.212","[[Smila]]","14","TRUE",99,"49.212","31.873"
"30.704_48.889","[[Talne]]","10","TRUE",99,"48.889","30.704"
"30.217_48.750","[[Uman]]","16","TRUE",99,"48.750","30.217"
"31.071_49.012","[[Vatutine]]","10","TRUE",99,"49.012","31.071"
"30.111_49.236","[[Zhashkiv]]","10","TRUE",99,"49.236","30.111"
"32.033_49.667","[[Zolotonosha]]","12","TRUE",99,"49.667","32.033"
"30.968_49.070","[[Zvenyhorodka]]","10","TRUE",99,"49.070","30.968"
"32.830_51.183","[[Bakhmach]]","10","TRUE",99,"51.183","32.830"
"31.289_51.492","[[Chernihiv]]","20","TRUE",99,"51.492","31.289"
"31.160_51.403","[[Chernihiv Shestovytsia Airport]]","10","TRUE",99,"51.403","31.160"
"31.595_51.893","[[Horodnia]]","10","TRUE",99,"51.893","31.595"
"32.400_50.850","[[Ichnia]]","10","TRUE",99,"50.850","32.400"
"32.250_51.783","[[Koriukivka]]","10","TRUE",99,"51.783","32.250"
"31.083_51.799","[[Ripky]]","10","TRUE",99,"51.799","31.083"
"32.217_51.517","[[Mena, Ukraine]]","10","TRUE",99,"51.517","32.217"
"31.886_51.038","[[Nizhyn]]","14","TRUE",99,"51.038","31.886"
"31.581_50.930","[[Nosivka]]","10","TRUE",99,"50.930","31.581"
"33.267_51.983","[[Novhorod-Siverskyi]]","10","TRUE",99,"51.983","33.267"
"32.386_50.589","[[Pryluky]]","14","TRUE",99,"50.589","32.386"
"32.577_52.175","[[Semenivka, Chernihiv |Semenivka]]","14","TRUE",99,"52.175","32.577"
"31.950_51.820","[[Snovsk]]","14","TRUE",99,"51.820","31.950"
"32.499_51.531","[[Sosnytsia]]","14","TRUE",99,"51.531","32.499"
"25.933_48.300","[[Chernivtsi]]","20","TRUE",99,"48.300","25.933"
"25.981_48.259","[[Chernivtsi International Airport]]","10","TRUE",99,"48.259","25.981"
"25.717_48.167","[[Storozhynets]]","10","TRUE",99,"48.167","25.717"
"33.717_47.659","[[Apostolove]]","10","TRUE",99,"47.659","33.717"
"35.040_48.467","[[Dnipro]]","24","TRUE",99,"48.467","35.040"
"35.101_48.357","[[Dnipro International Airport]]","12","TRUE",99,"48.357","35.101"
"34.616_48.516","[[Kamianske]]","20","TRUE",99,"48.516","34.616"
